Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,118.520711,-95.58015,9.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,169.806958,-81.677557,0.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,132.827866,-48.003814,4.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,168.806959,-101.677557,0.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,99.070624,-81.448825,9.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,186.806963,-49.67756,0.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,134.013732,-64.962401,4.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,135.199589,-81.920992,4.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,169.806963,-47.677553,0.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,152.806958,-58.677556,0.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,186.806961,-66.677558,0.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,169.806956,-64.677559,0.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,96.411236,-64.658125,9.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,152.806964,-41.677561,0.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,186.806961,-83.677555,0.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,113.201937,-61.998733,9.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,205.238968,-107.147272,-20.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,152.806962,-75.677558,0.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,101.730012,-98.23953,9.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,115.861331,-78.789439,9.0,top
CPG1316,CPG1316S01D02_mikeholscher,CPG1316S01D02_mikeholscher,186.546649,-102.735883,-5.0,top
D1,,diode_tht_sod123,101.307636,-95.57277,9.0,top
D10,,diode_tht_sod123,152.806959,-72.977559,0.0,top
D11,,diode_tht_sod123,152.806962,-55.977557,0.0,top
D12,,diode_tht_sod123,152.806962,-38.97756,0.0,top
D13,,diode_tht_sod123,169.806963,-78.977556,0.0,top
D14,,diode_tht_sod123,169.806964,-61.977554,0.0,top
D15,,diode_tht_sod123,169.806961,-44.977562,0.0,top
D16,,diode_tht_sod123,186.806961,-80.977553,0.0,top
D17,,diode_tht_sod123,186.806957,-63.977557,0.0,top
D18,,diode_tht_sod123,186.806964,-46.977557,0.0,top
D19,,diode_tht_sod123,168.806963,-98.977555,0.0,top
D2,,diode_tht_sod123,98.648251,-78.782068,9.0,top
D20,,diode_tht_sod123,186.781971,-100.046157,-5.0,top
D21,,diode_tht_sod123,206.162422,-104.61009,-20.0,top
D3,,diode_tht_sod123,95.988864,-61.991362,9.0,top
D4,,diode_tht_sod123,118.09834,-92.913386,9.0,top
D5,,diode_tht_sod123,115.438955,-76.122683,9.0,top
D6,,diode_tht_sod123,112.779566,-59.331977,9.0,top
D7,,diode_tht_sod123,135.011245,-79.227569,4.0,top
D8,,diode_tht_sod123,133.825388,-62.268984,4.0,top
D9,,diode_tht_sod123,132.639533,-45.310393,4.0,top
JST1,,battery_connector_jst_ph_2,200.829999,-60.869998,0.0,top
MH1,,mounting_hole_npth,214.161381,-97.252158,-20.0,top
MH2,,mounting_hole_npth,140.598443,-35.842146,4.0,top
MH3,,mounting_hole_npth,136.100838,-94.809521,4.0,top
MH4,,mounting_hole_npth,150.806954,-94.67756,0.0,top
PWR1,,power_switch_smd_side,167.013606,-35.617883,70.6,top
RST1,,reset_switch_tht_top,116.751186,-47.970808,37.0,top
